ID,X,Y,Z
1.0,9.968136051619371e-13,1.1368683772161602e-13,9.842519685039221
2.0,19.685039370079743,5.008272061797085e-14,9.842519685039221
3.0,1.0127140805427405e-12,1.1368683772161602e-13,19.685039370078442
4.0,19.685039370079757,5.008272061797085e-14,19.685039370078442
5.0,39.370078740159485,-1.3304075194221678e-14,9.842519685039218
6.0,39.3700787401595,-1.3304075194221678e-14,19.68503937007844
7.0,1.653314175202453e-14,1.137577690247184e-13,5.3290705182007624e-15
8.0,19.685039370079632,5.003425751532427e-14,-5.827504658544723e-14
9.0,39.37007874015951,-1.368925399407075e-14,-6.361577931102138e-14
