ID,Start Node,End Node,Start X,Start Y,Start Z,End X,End Y,End Z,Section,Type,Material,Length,Volume,Area,Inertia X,Inertia Y,Density,Young Modulus,Poisson ratio,Mass,BIM ID
1,1,2,3.0867525174942736e-13,3.465174813754857e-14,5.99999999999991,6.000000000000311,1.5265213244357517e-14,5.99999999999991,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000002,0.015014342935363207,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,117.8482814219192,1374667
2,2,3,6.000000000000615,1.533145277399228e-14,5.9999999999999085,12.000000000000616,-4.055082119198768e-15,5.9999999999999085,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000002,0.015014342935363207,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,117.8482814219192,1375707
3,4,1,4.872902081842768e-15,-6.691135164443102e-47,2.999999999999955,4.8421109063339014e-15,-7.95955212947953e-30,5.99999999999991,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182112,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794675,1374668
4,4,2,3.0413673557511597e-13,3.465174813754857e-14,2.9999999999999543,6.000000000000915,1.5331452773991306e-14,5.9999999999999085,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499895,0.01552897772995697,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561845,1384038
5,5,2,6.000000000000313,1.5250441690670717e-14,2.999999999999955,6.000000000000313,1.5250441690670717e-14,5.99999999999991,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182053,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794626,1374669
6,5,3,6.00000000000061,1.5331452773992284e-14,2.999999999999954,12.000000000001224,-4.05508211920073e-15,5.99999999999991,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499898,0.015528977729956995,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561867,1384069
7,6,3,12.000000000000618,-4.069853672885569e-15,2.999999999999954,12.000000000000618,-4.069853672885569e-15,5.9999999999999085,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182438,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.5847008079493,1375708
8,4,5,3.0382878685335846e-13,3.465174813754857e-14,2.999999999999955,6.000000000000306,1.5265213244357517e-14,2.999999999999955,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000002,0.013707809209455418,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,107.59323697003322,1372973
9,5,6,6.00000000000061,1.533145277399228e-14,2.999999999999954,12.000000000000613,-4.055082119198768e-15,2.999999999999954,W 310x21,Beam,AÇO ASTM - A572 GR50,6.000000000000002,0.013707809209455418,0.0027199999999999998,3.776e-05,9.800000000000001e-07,7849.04687,199959000000.0,0.3,107.59323697003322,1375704
10,7,4,-2.0256719257514535e-37,-5.23637979100799e-50,1.9736191594953076e-20,-3.0791175508866043e-17,-7.95955212947953e-30,2.999999999999955,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182112,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794675,1373235
11,7,5,7.894476586814576e-21,2.367200483901697e-31,3.947238420362145e-21,6.00000000000061,1.533145277399228e-14,2.999999999999954,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499894,0.015528977729956945,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561827,1383927
12,8,5,6.000000000000308,1.5250441690670717e-14,0.0,6.000000000000308,1.5250441690670717e-14,2.999999999999955,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182053,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.58470080794626,1373332
13,8,6,6.000000000000308,1.5250441690670717e-14,-4.331468517196316e-16,12.00000000000092,-4.0550821191997645e-15,2.9999999999999543,W 250x17.9,Column,AÇO ASTM - A572 GR50,6.708203932499895,0.015528977729956686,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,121.88767404561624,1383962
14,9,6,12.000000000000615,-4.069853672885569e-15,-1.0828671292983927e-15,12.000000000000615,-4.069853672885569e-15,2.999999999999954,HP 200x53,Column,AÇO ASTM - A572 GR50,2.999999999999955,0.020459133888182438,0.006809999999999999,4.9500000000000004e-05,1.6800000000000002e-05,7849.04687,199959000000.0,0.3,160.5847008079493,1375705
15,7,8,5.039301606017078e-15,3.4673367998734173e-14,1.6243006939475926e-15,6.000000000000273,1.525044169067084e-14,-1.7762234199244315e-14,W 250x17.9,Beam,AÇO ASTM - A572 GR50,6.000000000000267,0.012945097947284856,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,101.60668052497962,1384255
16,8,9,6.000000000000308,1.525044169067071e-14,2.7995854120692796e-29,12.000000000000618,-4.1724846173927645e-15,-1.9390089533999318e-14,W 250x17.9,Beam,AÇO ASTM - A572 GR50,6.000000000000311,0.012945097947284856,0.00231,2.291e-05,9.100000000000001e-07,7849.04687,199959000000.0,0.3,101.60668052497962,1384316
